"quarter","wordcount","inflation","growth","employment","rates","profits","indprod","housing","nresinv","consum","fedgov","equities","policy","other1","other2","other3","other4","other5","other6","other7","other8","other9","other10","other11","other12","other13","other14","other15","other16","other17","other18"
"1993-01-01",291.628834355828,0.0150441652515586,0.0123173441249084,0.0138864381921201,0.0352797007508333,0.0360764814678705,0.015861083204301,0.0114940382393723,0.0129298206175549,0.0138499043216427,0.0348723088827576,0.0447474947748165,0.0125137652210988,0.0340870009284189,0.0227366169843865,0.0805611601626199,0.044604238817816,0.0394315861662971,0.0361609140946019,0.0704946767145725,0.0576954933325489,0.0601546760276607,0.0207727010559376,0.0247092861002592,0.0423043320995513,0.0818469502226758,0.019554474090674,0.0170766853251098,0.0422557258400403,0.0180662343219869,0.0286147026660081
"1993-04-01",284.365296803653,0.0201205805341424,0.0112105774415441,0.013766194310194,0.0389020916073714,0.0347004278751599,0.0130863355529924,0.0135914104102754,0.0152345706434554,0.0159494763458717,0.0349469654304328,0.0624698038329128,0.0139321724019673,0.0349127551018807,0.0282855632430401,0.0718340679219552,0.0480892432114869,0.0519645057523482,0.0345973060027707,0.0758185484669556,0.0444810376213238,0.0560925363156525,0.0154417937093843,0.0315686599298073,0.0307307335879402,0.058925108319507,0.0216982509770351,0.0147550498671323,0.0427642320137531,0.0182398714701775,0.0318901301015298
"1993-07-01",287.547134935305,0.0165237654611498,0.0119962372440352,0.0147456870271546,0.0349776329036048,0.0325314377645502,0.0151485588446988,0.0136266436543356,0.0149625410076273,0.0146920192919042,0.0255366298678636,0.0469611158798662,0.0124943293911707,0.0306648922834329,0.0449873158693985,0.0758852522396883,0.0374170579476784,0.0457737870734944,0.0396513406290552,0.0619523128135655,0.0530885630547642,0.0607346048049543,0.0166306918398864,0.0283564065619506,0.0371347974194504,0.0807771596962168,0.0185647071349723,0.0147757771887621,0.0533273133791791,0.0166512504580459,0.0294301712675435
"1993-10-01",305.452574525745,0.0150238486405773,0.0102431541816387,0.0151039743256726,0.0296183129154692,0.0395751906112603,0.0164678048734634,0.0155527225738399,0.0120001270726286,0.0151597662802668,0.0227493472413991,0.0521478068478722,0.0120743540512157,0.0252722678617881,0.0587189546973972,0.078911393242805,0.0430472363402592,0.0420896548320054,0.0330216749863475,0.0614498129924381,0.044821466300316,0.0640742820007383,0.0175857658371494,0.030315009085562,0.0410397709671333,0.0774197292397312,0.0173553219835729,0.0151049642972717,0.0458917952196144,0.0188930114260818,0.0292714790744847
"1994-01-01",279.795731707317,0.017697825248918,0.0102258904275283,0.013654843742068,0.0411205721823014,0.0381244013461688,0.0151228563232511,0.0148214779254749,0.0165587983544788,0.0122540353390379,0.0297343103289378,0.0599319796665051,0.0124123784640151,0.0228053265087332,0.0279399605992494,0.0789256167749586,0.03313229034669,0.0413527990135045,0.0355618243865868,0.0662582351107356,0.066980256009926,0.0610735167244331,0.0166996364166721,0.0279636282105536,0.0379057855418852,0.0744092448061151,0.0176252069001678,0.0147539518542575,0.0478071043555732,0.0212332119222961,0.025913035168977
"1994-04-01",298.204188481675,0.0214685511180627,0.0110174931792529,0.0100051264276963,0.0428387759900295,0.0487253969795806,0.0153816463793531,0.0131560216423671,0.0183651457628112,0.0152260073179684,0.0172570259441132,0.0601719104004295,0.0109998438196191,0.0232869948830915,0.0261878763428569,0.0887568457300602,0.0448288785108509,0.0405536335871663,0.042154391310034,0.0471673273412217,0.0652205580130772,0.0518558090667694,0.0218287141156681,0.025975959028673,0.0372934970499503,0.055682824325155,0.0165301015938232,0.0182404042883792,0.0601094735394398,0.0184478034624091,0.0312659628500905
"1994-07-01",283.186893203883,0.0200651833681344,0.011266457409943,0.0118899031121132,0.0454090027419733,0.0356194245458381,0.0150461199125832,0.0138327386990183,0.0200284021405243,0.0139156060240706,0.0243149326991631,0.0596278117541109,0.0141284233863713,0.0261967362074867,0.0345350071841643,0.0886566818584743,0.0346926225539165,0.0396522443941382,0.0350976906372506,0.056707435922427,0.0638919960841415,0.0587159106545958,0.0182282420918935,0.0278201914173662,0.0333506569682763,0.0673336633983142,0.0175172087155174,0.0168628804453492,0.0478062624688123,0.0190854090968124,0.02870515410722
"1994-10-01",279.700748129676,0.0179614146901852,0.00958358587380249,0.0100408570454446,0.0407985668686548,0.0424120464373,0.014109040962214,0.0142417395276633,0.0213324054554266,0.015750940093597,0.0269891923061637,0.0590009867136273,0.0122082506398594,0.0191216532355741,0.0472416606646508,0.0799651716724687,0.0355149009580212,0.0476361916906466,0.0323649447616169,0.061429583733941,0.0536264205321978,0.0571300431212363,0.0230614802634533,0.0272518179147325,0.0345201596178588,0.0590222194284234,0.0189649265598946,0.0145704605618484,0.0513336741323277,0.0207024664008197,0.03211319813635
"1995-01-01",292.047619047619,0.0140984883951214,0.00992803027228882,0.0150073984465211,0.039299203601817,0.0470413608704443,0.0142410926436131,0.0137311293350021,0.0189882251616212,0.0161424191964294,0.0269034423972946,0.0574171941956003,0.0111181668458708,0.0233313660623174,0.0468364330884645,0.0884336652614269,0.042279360520762,0.044615701127245,0.0296264809221925,0.0546622061478004,0.0629076329563155,0.0602813932818896,0.0256673598225399,0.0250750751426792,0.0376268313512337,0.0510986619597825,0.0232790571787978,0.01355165711712,0.0440689139878152,0.0170503585205931,0.0256916941894006
"1995-04-01",299.375,0.0111157642436358,0.00968662036388549,0.0110912983222709,0.0364580456744536,0.0432465071709754,0.0181180085150533,0.0235919641860489,0.0134116102902855,0.0158697810102886,0.0361249584437727,0.057559334654244,0.0134602367270872,0.029527092489683,0.0361992320634925,0.0915896776025697,0.0348923711906431,0.0477003686034654,0.0447336237090028,0.0601782149015094,0.0558594056289804,0.0570743393705765,0.0191317291694727,0.0247326700655045,0.0387018605714599,0.0471035727001482,0.018047302211665,0.0150857068745361,0.0494649901889404,0.0157852019696502,0.0244585110866992
